Snail ID	mixed.species	species	trial.num
8	no	native	1
5	no	native	1
7	no	native	1
B	no	native	1
8	no	native	2
5	no	native	2
7	no	native	2
B	no	native	2
6	no	nonnative	1
1	no	nonnative	1
11	no	nonnative	1
2	no	nonnative	1
6	no	nonnative	2
1	no	nonnative	2
11	no	nonnative	2
2	no	nonnative	2
8	yes	native	1
5	yes	native	1
7	yes	native	1
B	yes	native	1
6	yes	nonnative	1
1	yes	nonnative	1
11	yes	nonnative	1
2	yes	nonnative	1
8	yes	native	2
5	yes	native	2
7	yes	native	2
B	yes	native	2
6	yes	nonnative	2
1	yes	nonnative	2
11	yes	nonnative	2
2	yes	nonnative	2
