Initial Posistion	Snail.ID	time	x	y
upper left	6	0	-2	1
upper left	6	10	-2	1
upper left	6	20	-2	1
upper left	6	30	-2	1
upper left	6	40	-2	1
upper left	6	50	-2	1
upper left	6	60	-1.8	1
upper left	6	70	-1.5	1.3
upper left	6	80	-1.3	1.5
upper left	6	90	-1.2	1.2
upper left	6	100	-1.2	1.5
upper left	6	110	-1.5	1.7
upper left	6	120	-1.5	1.8
upper left	6	130	-1.6	1.8
upper left	6	140	-1.2	2.1
upper left	6	150	-1.1	2.2
upper left	6	160	-1.1	2.2
upper left	6	170	-1.1	2
upper left	6	180	-1.2	2.1
upper left	6	190	-1.5	2.6
upper left	6	200	-1.7	2.7
upper left	6	210	-2	3
upper left	6	220	-2.5	3.5
upper left	6	230	-2.6	3.6
upper left	6	240	-2.7	4.1
upper left	6	250	-2.8	4.6
upper left	6	260	-3.3	4.8
upper left	6	270	-3.5	5.2
upper left	6	280	-3.7	5.5
upper left	6	290	-3.7	6
upper left	6	300	-4	6.5
top	B	0	0	1.7
top	B	10	0	1.7
top	B	20	0	1.7
top	B	30	0	1.7
top	B	40	0	1.7
top	B	50	0	1.7
top	B	60	0	1.7
top	B	70	0.2	1.5
top	B	80	0	1.3
top	B	90	0.1	1.5
top	B	100	0.1	1.3
top	B	110	0.1	1.3
top	B	120	0.1	1.3
top	B	130	0.1	1.3
top	B	140	0.1	1.3
top	B	150	0.1	1.3
top	B	160	0.1	1.3
top	B	170	0	1.2
top	B	180	0	1.2
top	B	190	-0.1	1.1
top	B	200	-0.5	1
top	B	210	-0.8	0.5
top	B	220	-1.3	0.3
top	B	230	-1.7	0.2
top	B	240	-2.2	0.2
top	B	250	-2.6	0.3
top	B	260	-2.7	0.2
top	B	270	-2.8	0.2
top	B	280	-3	0.5
top	B	290	-3.2	0.5
top	B	300	-3.8	0.5
top right	11	0	1.6	2
top right	11	10	1.6	2
top right	11	20	1.6	2
top right	11	30	1.6	2
top right	11	40	1.7	2
top right	11	50	1	1.7
top right	11	60	0.7	1.1
top right	11	70	0.5	0.8
top right	11	80	0.2	0.7
top right	11	90	0	0.6
top right	11	100	-0.5	0.8
top right	11	110	-0.7	1.1
top right	11	120	-0.8	1.3
top right	11	130	-1.2	1.3
top right	11	140	-1.5	1.3
top right	11	150	-1.5	1.5
top right	11	160	-1.2	1.2
top right	11	170	-1.5	1.5
top right	11	180	-1.6	1.5
top right	11	190	-1.6	1.3
top right	11	200	-2.1	1.7
top right	11	210	-2.3	1.8
top right	11	220	-2.5	2.1
top right	11	230	-2.3	2.3
top right	11	240	-2.2	2.5
top right	11	250	-2.3	2.6
top right	11	260	-2.2	3
top right	11	270	-2.3	2.7
top right	11	280	-2.6	3.3
top right	11	290	-2.7	3.3
top right	11	300	-3.2	3.5
right	7	0	1.2	0.2
right	7	10	1.3	0
right	7	20	1.3	-0.3
right	7	30	1.2	-0.5
right	7	40	1.2	-0.3
right	7	50	1.3	-0.2
right	7	60	1	-0.5
right	7	70	1.3	-0.5
right	7	80	1.3	-0.5
right	7	90	1.1	-0.6
right	7	100	0.8	-0.7
right	7	110	0.2	-1
right	7	120	0.1	-1.5
right	7	130	-0.2	-1.7
right	7	140	-0.3	-2
right	7	150	-0.5	-2.2
right	7	160	-0.7	-2.2
right	7	170	-0.8	-2.3
right	7	180	-1.1	-2.3
right	7	190	-1.1	-2.5
right	7	200	-1.1	-2.3
right	7	210	-1.1	-2.3
right	7	220	-1.1	-2.6
right	7	230	-1.2	-2.8
right	7	240	-1.2	-2.8
right	7	250	-1.3	-3.1
right	7	260	-1.2	-3.1
right	7	270	-1.3	-3.1
right	7	280	-1.3	-3.2
right	7	290	-1.5	-3.5
right	7	300	-1.6	-3.8
bottom right	2	0	1.3	-1.5
bottom right	2	10	1.5	-1.3
bottom right	2	20	1.3	-1.2
bottom right	2	30	1.6	-1.3
bottom right	2	40	2	-0.5
bottom right	2	50	1.8	0
bottom right	2	60	1.7	0.5
bottom right	2	70	0.6	0.8
bottom right	2	80	0.3	1.5
bottom right	2	90	0.6	1.7
bottom right	2	100	0.5	2.5
bottom right	2	110	0.5	2.3
bottom right	2	120	0.6	4.3
bottom right	2	130	0.3	5.1
bottom right	2	140	0.5	5.6
bottom right	2	150	0.8	5.5
bottom right	2	160	0.8	5.6
bottom right	2	170	1	5.5
bottom right	2	180	1.1	5.5
bottom right	2	190	1.7	5.2
bottom right	2	200	2	5.2
