Initial Position	Snail.ID	time	x	y
right	B	0	0.5	0
right	B	10	0	-0.1
right	B	20	0	0.1
right	B	30	0.1	0
right	B	40	0.2	0.1
right	B	50	0.2	0.1
right	B	60	0.1	0.2
right	B	70	0.1	0
right	B	80	0.1	0
right	B	90	0	0
right	B	100	0.1	0.5
right	B	110	0.2	0.6
right	B	120	0.2	0.6
right	B	130	0.2	0.7
right	B	140	0.1	0.7
right	B	150	0.2	0.7
right	B	160	0.3	0.6
right	B	170	0.6	0
right	B	180	0.5	-0.2
right	B	190	1	-0.6
right	B	200	1.2	-1
right	B	210	1.2	-1.1
right	B	220	1.2	-1.2
right	B	230	1	-2
right	B	240	1	-2.1
right	B	250	1	-2.2
right	B	260	0.8	-2.3
right	B	270	1.1	-2.5
right	B	280	1.2	-2.7
right	B	290	1.5	-2.8
right	B	300	1.6	-3
right	B	310	1.6	-3.3
right	B	320	2	-3.6
right	B	330	2.3	-3.7
right	B	340	2.5	-3.5
right	B	350	2.5	-3.2
right	B	360	2.7	-3.2
right	B	370	2.7	-3.3
right	B	380	3	-3.6
right	B	390	3.1	-3.8
right	B	400	3.1	-3.8
right	B	410	3.1	-3.8
right	B	420	3.1	-4
right	B	430	3.1	-4.2
right	B	440	3.3	-4.2
right	B	450	3.5	-4.3
right	B	460	3.8	-4.7
right	B	470	4	-5
right	B	480	4.1	-5.1
right	B	490	4.3	-5.2
right	B	500	4.5	-5.7
right	B	510	4.7	-5.8
right	B	520	4.8	-6.1
right	B	530	4.8	-6.3
right	B	540	4.8	-6.7
right	B	550	4.8	-7
right	B	560	5	-7.1
right	B	570	5.1	-7.1
right	B	580	4.8	-7.3
right	B	590	4.3	-7.5
right	B	600	4.2	-7.6
bottom	5	0	-0.1	-0.5
bottom	5	10	-0.5	-0.8
bottom	5	20	-0.7	-1.2
bottom	5	30	-0.5	-1.3
bottom	5	40	-0.5	-1.3
bottom	5	50	-0.5	-1.3
bottom	5	60	-0.2	-1.1
bottom	5	70	-0.2	-0.7
bottom	5	80	-0.3	-0.7
bottom	5	90	-0.2	-0.6
bottom	5	100	-0.4	-0.2
bottom	5	110	-0.2	-0.2
bottom	5	120	-0.1	-0.1
bottom	5	130	-0.1	0
bottom	5	140	-0.1	0
bottom	5	150	-0.1	0
bottom	5	160	-0.1	-0.1
bottom	5	170	-0.4	-0.1
bottom	5	180	-1.1	-0.5
bottom	5	190	-0.3	-0.5
bottom	5	200	-1.6	-0.5
bottom	5	210	-1.6	-1
bottom	5	220	-2	-1.1
bottom	5	230	-2.3	-1.5
bottom	5	240	-2.5	-1.8
bottom	5	250	-2.6	-2.1
bottom	5	260	-2.8	-2.3
bottom	5	270	-3.2	-2.3
bottom	5	280	-3.2	-2.5
bottom	5	290	-3.7	-2.7
bottom	5	300	-4.1	-2.8
bottom	5	310	-4.5	-3.1
bottom	5	320	-4.7	-3.1
bottom	5	330	-4.8	-3.1
bottom	5	340	-5.3	-3.2
bottom	5	350	-5.5	-3.3
bottom	5	360	-5.5	-3.7
bottom	5	370	-5.6	-4
bottom	5	380	-6	-4.2
bottom	5	390	-6.2	-4.3
bottom	5	400	-6.5	-4.5
bottom	5	410	-6.7	-4.7
bottom	5	420	-6.7	-4.7
bottom	5	430	-7.3	-5
bottom	5	440	-7.2	-5.7
bottom	5	450	-7.2	-6.2
bottom	5	460	-7.6	-6.7
bottom	5	470	-7.2	-6.7
bottom	5	480	-7.5	-7.3
bottom	5	490	-7.3	-7.6
bottom	5	500	-7.7	-7.6
bottom	5	510	-7.8	-8.2
bottom	5	520	-7.5	-8.7
bottom	5	530	-7.6	-9
bottom	5	540	-7.5	-9.5
bottom	5	550	-7	-9.7
bottom	5	560	-6.6	-10.3
bottom	5	570	-6.2	-10.6
