Initial Posistion	Snail.ID	time	x	y
right	6	0	1.7	0.2
right	6	10	1.6	0.2
right	6	20	1.7	0.2
right	6	30	1.6	0.1
right	6	40	1.6	0.1
right	6	50	1.7	0.2
right	6	60	1.7	0.2
right	6	70	1.7	0.2
right	6	80	1.7	0.2
right	6	90	1.7	0.2
right	6	100	1.7	0.2
right	6	110	1.7	0.2
right	6	120	1.7	0.2
right	6	130	1.7	0.2
right	6	140	1.7	0.2
right	6	150	1.7	0.2
right	6	160	1.7	0.2
right	6	170	1.6	0
right	6	180	1.3	-0.1
right	6	190	1.2	-0.5
right	6	200	1.2	-0.7
right	6	210	1.1	-0.5
right	6	220	1.1	-0.1
right	6	230	1.2	0.5
right	6	240	1.3	0.7
right	6	250	1.3	0.7
right	6	260	1.5	0.7
right	6	270	1.6	0.7
right	6	280	2	0.7
right	6	290	2.1	0.6
right	6	300	2.5	0.5
right	6	310	2.8	0.5
right	6	320	3.2	0.5
right	6	330	3.7	0.6
right	6	340	4.3	0.7
right	6	350	5	0.7
right	6	360	5.2	0.8
right	6	370	5.5	0.7
right	6	380	6	1
right	6	390	6.3	1.3
right	6	400	6.8	1.3
right	6	410	7	1.5
right	6	420	7.2	1.7
right	6	430	7.3	1.6
right	6	440	7.6	1.7
right	6	450	8	1.7
right	6	460	8.3	1.3
right	6	470	8.5	1.6
right	6	480	8.6	1.5
right	6	490	8.6	1.6
right	6	500	9.1	2.5
right	6	510	9	2.6
right	6	520	8.7	2.7
right	6	530	8.6	3.1
right	6	540	8.6	3.8
right	6	550	8.8	4.2
right	6	560	9	4.5
right	6	570	9.2	4.8
right	6	580	9	5.3
right	6	590	9.3	5.7
right	6	600	9.5	6.5
left	2	0	-1.2	-0.2
left	2	10	-1.1	-0.2
left	2	20	-1	-0.1
left	2	30	-0.8	0
left	2	40	-0.6	0.2
left	2	50	-0.2	0.5
left	2	60	-0.1	0.7
left	2	70	0.6	0.8
left	2	80	1	0.7
left	2	90	1.3	0.7
left	2	100	1.7	0.7
left	2	110	2.3	1.3
left	2	120	2.8	2
left	2	130	2.8	2.5
left	2	140	2.8	2.8
left	2	150	3.3	3.1
left	2	160	3.6	3.3
left	2	170	4	3.5
left	2	180	4.3	3.3
left	2	190	4.3	3.7
left	2	200	4.3	3.7
left	2	210	4.3	3.8
left	2	220	4.5	4
left	2	230	4.7	4
left	2	240	4.7	3.8
left	2	250	4.7	4
left	2	260	4.7	3.8
left	2	270	4.7	3.8
left	2	280	4.7	4.2
left	2	290	5.1	4.3
left	2	300	5.1	4.5
left	2	310	5.3	3.8
left	2	320	5.7	4.2
left	2	330	5.8	3.5
left	2	340	6.2	3.2
left	2	350	6.3	3.1
left	2	360	6.3	2.8
left	2	370	6	2.7
left	2	380	6.1	2.8
left	2	390	6.2	2.8
left	2	400	6.6	1.8
left	2	410	7.1	2.2
left	2	420	6.6	2.2
left	2	430	6.6	1.7
left	2	440	6.3	1.5
left	2	450	6.2	1.6
left	2	460	6	1.8
left	2	470	5.8	2.1
left	2	480	5.6	1.5
left	2	490	5.3	2.1
left	2	500	5.3	2.7
left	2	510	5.1	3
left	2	520	4.7	3.5
left	2	530	4.6	3.3
left	2	540	4.6	3.8
left	2	550	4.5	4
left	2	560	4.1	4.5
left	2	570	4.2	4.5
left	2	580	4.1	4.5
left	2	590	4.5	4.7
left	2	600	4.1	5.3
top	11	0	0.2	1.7
top	11	10	0.1	1.2
top	11	20	0.1	1.1
top	11	30	0.3	1
top	11	40	0.8	0.8
top	11	50	1.3	0.8
top	11	60	1.6	0.8
top	11	70	1.3	0.7
top	11	80	1.3	0.7
top	11	90	1.5	0.7
top	11	100	1.5	0.7
top	11	110	1.5	0.7
top	11	120	1.5	0.6
top	11	130	1.5	0.6
top	11	140	1.6	0.6
top	11	150	2.2	0.6
top	11	160	2.3	0.5
top	11	170	2.3	0.5
top	11	180	2.5	0.5
top	11	190	3.2	0.3
top	11	200	3.8	0.6
top	11	210	4.8	0.7
top	11	220	5.2	0.8
top	11	230	5.3	1.1
top	11	240	5.3	1.3
top	11	250	5.3	1.7
top	11	260	5.5	1.7
top	11	270	5.6	1.6
top	11	280	5.8	1.8
top	11	290	6.1	2.1
top	11	300	6.2	3.1
top	11	310	7	4
top	11	320	7.1	4.3
top	11	330	6.8	4.5
top	11	340	6.6	4.8
top	11	350	6.5	5.6
top	11	360	7	5.5
top	11	370	7.2	5.5
top	11	380	7.3	6.2
top	11	390	7	7.5
top	11	400	6.8	7.6
top	11	410	6.8	7.8
top	11	420	6.6	8.3
top	11	430	6.2	8.5
top	11	440	6.6	9.1
top	11	450	6.7	9.7
top	11	460	6.6	10.1
top	11	470	7.2	10.5
top	11	480	6.8	11.2
top	11	490	6.7	11.7
top	11	500	7.1	11.8
top	11	510	6.7	12.2
top	11	520	6.7	12.5
top	11	530	6.7	13.1
top	11	540	6.5	13.5
top	11	550	6.3	13.8
top	11	560	6.8	14
top	11	570	6.8	14.1
top	11	580	6.2	14.2
top	11	590	7	14.7
top	11	600	7.1	15.1
bottom	1	0	-0.1	-1.2
bottom	1	10	-0.1	-1.1
bottom	1	20	-0.2	-0.8
bottom	1	30	-0.1	-0.3
bottom	1	40	-0.6	-0.1
bottom	1	50	-1.1	-0.3
bottom	1	60	-1.1	-0.7
bottom	1	70	-1	-0.8
bottom	1	80	-1	-1.2
bottom	1	90	-0.8	-1.3
bottom	1	100	-0.7	-1.3
bottom	1	110	-0.7	-1.2
bottom	1	120	-1.1	-1.2
bottom	1	130	-1.1	-1.5
bottom	1	140	-1.5	-1.6
bottom	1	150	-1.7	-1.6
bottom	1	160	-2	-1.3
bottom	1	170	-2.1	-1.2
bottom	1	180	-2.2	-1.1
bottom	1	190	-2.6	-0.8
bottom	1	200	-2.8	-0.7
bottom	1	210	-3.1	-0.2
bottom	1	220	-3.1	-0.1
bottom	1	230	-3.1	0
bottom	1	240	-3.1	0
bottom	1	250	-3.1	0.1
bottom	1	260	-3	0.3
bottom	1	270	-3	0.5
bottom	1	280	-3	0.7
bottom	1	290	-2.8	0.7
bottom	1	300	-3	0.7
bottom	1	310	-3	1
bottom	1	320	-2.8	1.1
bottom	1	330	-3	1.2
bottom	1	340	-3	1.5
bottom	1	350	-2.8	1.7
bottom	1	360	-2.7	1.8
bottom	1	370	-2.6	2.1
bottom	1	380	-2.3	2.5
bottom	1	390	-2.3	2.7
bottom	1	400	-2.5	3
bottom	1	410	-2.5	3.2
bottom	1	420	-2.6	3.3
bottom	1	430	-2.6	3.5
bottom	1	440	-3	3.6
bottom	1	450	-3.1	3.6
bottom	1	460	-3.1	3.8
bottom	1	470	-3.3	4.1
bottom	1	480	-3.3	4.3
bottom	1	490	-3.5	4.8
bottom	1	500	-3.7	4.8
bottom	1	510	-3.8	5.1
bottom	1	520	-4	5.2
bottom	1	530	-3.8	5.6
bottom	1	540	-4.1	5.6
bottom	1	550	-4.1	5.8
bottom	1	560	-4.2	6.5
bottom	1	570	-4.2	6.8
bottom	1	580	-4.2	7.3
bottom	1	590	-4.3	7.3
bottom	1	600	-4.7	7.3
